1984,Secker & Warburg,George Orwell,Tue Dec 09 16:30:49 EET 2025,Dystopian,A novel about totalitarianism,2
The Great Gatsby,Scribner,F. Scott Fitzgerald,Tue Dec 09 16:30:49 EET 2025,Fiction,A novel set in the Jazz Age,1
2,1984,Secker & Warburg,George Orwell,Wed Dec 10 04:51:40 EET 2025,Dystopian,A novel about totalitarianism
1,The Great Gatsby,Scribner,F. Scott Fitzgerald,Wed Dec 10 04:51:40 EET 2025,Fiction,A novel set in the Jazz Age
2,1984,Secker & Warburg,George Orwell,Wed Dec 10 04:55:11 EET 2025,Dystopian,A novel about totalitarianism
1,The Great Gatsby,Scribner,F. Scott Fitzgerald,Wed Dec 10 04:55:11 EET 2025,Fiction,A novel set in the Jazz Age
2,1984,Secker & Warburg,George Orwell,Wed Dec 10 04:55:22 EET 2025,Dystopian,A novel about totalitarianism
1,The Great Gatsby,Scribner,F. Scott Fitzgerald,Wed Dec 10 04:55:22 EET 2025,Fiction,A novel set in the Jazz Age
2,1984,Secker & Warburg,George Orwell,Wed Dec 10 09:53:40 EET 2025,Dystopian,A novel about totalitarianism
1,The Great Gatsby,Scribner,F. Scott Fitzgerald,Wed Dec 10 09:53:40 EET 2025,Fiction,A novel set in the Jazz Age
2,1984,Secker & Warburg,George Orwell,Wed Dec 10 09:54:02 EET 2025,Dystopian,A novel about totalitarianism
1,The Great Gatsby,Scribner,F. Scott Fitzgerald,Wed Dec 10 09:54:02 EET 2025,Fiction,A novel set in the Jazz Age
2,1984,Secker & Warburg,George Orwell,Wed Dec 10 11:17:40 EET 2025,HISTORY,A novel about totalitarianism
1,The Great Gatsby,Scribner,F. Scott Fitzgerald,Wed Dec 10 11:17:40 EET 2025,ROMANTIC,A novel set in the Jazz Age
2,1984,Secker & Warburg,George Orwell,Wed Dec 10 11:17:50 EET 2025,HISTORY,A novel about totalitarianism
1,The Great Gatsby,Scribner,F. Scott Fitzgerald,Wed Dec 10 11:17:50 EET 2025,ROMANTIC,A novel set in the Jazz Age
2,1984,Secker & Warburg,George Orwell,Wed Dec 10 11:20:10 EET 2025,HISTORY,A novel about totalitarianism
1,The Great Gatsby,Scribner,F. Scott Fitzgerald,Wed Dec 10 11:20:10 EET 2025,ROMANTIC,A novel set in the Jazz Age
